Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.01132,0.00849,0.0137,0.02363,0.04078,0.06579
140,0.0119,0.00898,0.01449,0.025,0.04314,0.0696
150,0.01277,0.00965,0.01557,0.02686,0.04634,0.07421
160,0.01433,0.01078,0.01728,0.02969,0.05122,0.08204
170,0.01699,0.01277,0.02047,0.03516,0.0601,0.09557
180,0.0209,0.01754,0.02765,0.04629,0.07729,0.12043
190,0.02535,0.02444,0.03727,0.06016,0.09708,0.14604
200,0.03481,0.02971,0.04419,0.06914,0.10883,0.16191
210,0.03066,0.03145,0.04629,0.07188,0.1117,0.16555
220,0.03195,0.03148,0.04589,0.0707,0.1096,0.16188
230,0.06123,0.03071,0.04453,0.06836,0.10569,0.15598
240,0.10607,0.02938,0.0424,0.06484,0.10051,0.14847
250,0.0752,0.02839,0.04077,0.06211,0.09603,0.14172
260,0.05538,0.02755,0.03938,0.05977,0.09216,0.1359
270,0.06227,0.02669,0.03798,0.05742,0.08855,0.13057
280,0.07836,0.02591,0.03669,0.05527,0.08502,0.12557
290,0.05397,0.02451,0.03488,0.05273,0.08111,0.11981
300,0.04052,0.02324,0.03307,0.05,0.0773,0.11438
310,0.03519,0.02188,0.03127,0.04746,0.07357,0.10922
331,0.0323,0.01955,0.02799,0.04277,0.06647,0.09902
352,0.0321,0.01772,0.02528,0.03877,0.06056,0.09057
373,0.03921,0.01535,0.02222,0.03447,0.0544,0.08198
395,0.02173,0.01418,0.02052,0.03184,0.05036,0.07613
417,0.01657,0.01313,0.01901,0.02949,0.04666,0.07052
439,0.03459,0.01164,0.01711,0.02686,0.04291,0.06562
462,0.02321,0.01094,0.01599,0.025,0.03995,0.06108
485,0.01718,0.00994,0.01469,0.02314,0.03735,0.05722
508,0.01573,0.0094,0.01388,0.02188,0.0353,0.05408
532,0.01182,0.00894,0.0132,0.0208,0.03357,0.05143
556,0.01258,0.00839,0.01231,0.01953,0.03152,0.04872
580,0.01913,0.00786,0.01158,0.01846,0.02993,0.0461
605,0.01755,0.00712,0.01074,0.01719,0.02815,0.04379
630,0.01011,0.00675,0.01015,0.01631,0.02684,0.04159
656,0.01246,0.00643,0.00963,0.01553,0.02555,0.0396
683,0.00965,0.00617,0.00923,0.01489,0.02451,0.03831
710,0.01043,0.00569,0.00862,0.01401,0.02317,0.03639
738,0.00911,0.0054,0.00817,0.01328,0.02207,0.03481
766,0.00721,0.00518,0.00784,0.01274,0.02118,0.0334
795,0.0068,0.00481,0.00736,0.01206,0.02023,0.03192
825,0.00666,0.00446,0.00691,0.01143,0.01926,0.03075
856,0.0066,0.00431,0.00667,0.01104,0.0186,0.0297
888,0.00641,0.0042,0.00642,0.01064,0.01803,0.02878
921,0.00664,0.00401,0.0062,0.01025,0.01737,0.02783
954,0.00862,0.00383,0.00589,0.00981,0.01678,0.02688
988,0.00728,0.00372,0.00571,0.00952,0.0162,0.02626
1024,0.0065,0.00359,0.00551,0.00918,0.01569,0.02534
1061,0.00643,0.0034,0.00525,0.00879,0.01517,0.02465
1099,0.00735,0.00318,0.00498,0.0084,0.01456,0.02382
1138,0.00936,0.00302,0.00475,0.00806,0.01403,0.02311
1179,0.00659,0.00295,0.0046,0.00786,0.01369,0.02263
1221,0.00562,0.00281,0.00441,0.00757,0.0133,0.02203
1265,0.00576,0.00267,0.00422,0.00728,0.0129,0.02162
1310,0.00548,0.00259,0.00411,0.00713,0.01264,0.02118
1357,0.00533,0.00251,0.00401,0.00698,0.01238,0.02089
1406,0.00529,0.00244,0.0039,0.00679,0.0122,0.02057
1457,0.00526,0.0024,0.00384,0.00669,0.01202,0.02028
1500,0.00523,0.00234,0.00374,0.00659,0.01179,0.01998
2000,0.00518,0.00198,0.00324,0.00591,0.01095,0.01791
2500,0.00535,0.00191,0.00319,0.00581,0.01104,0.01762
3000,0.00561,0.00185,0.00315,0.00591,0.01142,0.01791
