Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
551,0.01409,0.00943,0.01327,0.02012,0.0311,0.04637
565,0.01134,0.00899,0.01279,0.01934,0.02997,0.04472
580,0.01349,0.00863,0.01219,0.01855,0.02884,0.04328
595,0.02006,0.00815,0.01157,0.01768,0.02761,0.0417
611,0.01135,0.00783,0.01112,0.01699,0.02661,0.04012
627,0.00824,0.00754,0.01071,0.01636,0.02568,0.03865
644,0.0116,0.0071,0.01018,0.01567,0.02467,0.03742
661,0.01808,0.00681,0.00977,0.01504,0.02379,0.03613
679,0.01069,0.00662,0.00948,0.0146,0.0231,0.03524
697,0.01064,0.00615,0.00891,0.01382,0.02208,0.03376
716,0.01397,0.00584,0.0085,0.01323,0.02114,0.03263
736,0.01126,0.00553,0.00803,0.01265,0.02031,0.03137
756,0.00754,0.00534,0.00775,0.01221,0.0197,0.03045
777,0.00675,0.00515,0.00748,0.01177,0.01899,0.02962
799,0.00649,0.00483,0.00708,0.01123,0.0183,0.02858
821,0.00648,0.00455,0.00671,0.01069,0.0176,0.02751
844,0.00601,0.00439,0.0065,0.0104,0.01712,0.02698
868,0.00607,0.00424,0.00629,0.01006,0.01655,0.02609
893,0.00581,0.00412,0.0061,0.00977,0.01615,0.02557
919,0.0059,0.00394,0.00587,0.00942,0.01566,0.0249
946,0.00815,0.00376,0.00563,0.00908,0.01516,0.02421
974,0.00879,0.00362,0.00538,0.00874,0.01466,0.02351
1003,0.00603,0.00354,0.00526,0.00854,0.01434,0.02298
1033,0.00617,0.00338,0.00506,0.00825,0.01398,0.0224
1064,0.00589,0.00317,0.00482,0.00796,0.01348,0.02177
1096,0.00653,0.00301,0.00459,0.00762,0.01302,0.02118
1130,0.00892,0.00286,0.0044,0.00732,0.01264,0.02069
1165,0.00819,0.00276,0.00423,0.00713,0.0123,0.02029
1201,0.00562,0.00267,0.00415,0.00698,0.0121,0.01995
1239,0.00535,0.00255,0.00399,0.00674,0.01179,0.01954
1279,0.00564,0.00241,0.00378,0.00649,0.01141,0.01903
1320,0.00511,0.00235,0.00371,0.0064,0.01124,0.01881
1363,0.005,0.00229,0.00362,0.00625,0.01108,0.01857
1408,0.00495,0.00226,0.00357,0.00615,0.01096,0.01841
1455,0.00491,0.00222,0.00348,0.00605,0.01078,0.01817
1500,0.00488,0.00212,0.00339,0.00591,0.01062,0.01791
2000,0.00478,0.0018,0.00297,0.00537,0.00991,0.01628
2500,0.00487,0.00175,0.00292,0.00532,0.00995,0.01614
3000,0.00508,0.00172,0.00289,0.00537,0.01025,0.01629
