Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.02778,0.02366,0.03649,0.05938,0.09677,0.14717
133,0.02954,0.02436,0.03757,0.06113,0.09866,0.15114
136,0.03149,0.02506,0.03895,0.06289,0.102,0.15499
140,0.03251,0.0263,0.04057,0.06602,0.10654,0.16174
144,0.03215,0.02782,0.04267,0.06914,0.11158,0.16939
148,0.03482,0.02975,0.04538,0.07324,0.11762,0.17756
152,0.03462,0.03118,0.04792,0.07676,0.12265,0.18409
156,0.04235,0.03332,0.05063,0.08047,0.12762,0.19073
160,0.05433,0.0351,0.05276,0.0832,0.13063,0.19469
164,0.06819,0.03692,0.05463,0.08516,0.13268,0.19532
168,0.07667,0.03862,0.05666,0.08672,0.13338,0.19498
172,0.09491,0.03912,0.05645,0.08633,0.13209,0.1917
176,0.12494,0.03803,0.05497,0.0832,0.12731,0.18476
180,0.08423,0.03462,0.05079,0.07773,0.11956,0.17478
184,0.03891,0.02802,0.04211,0.06641,0.10479,0.15564
189,0.03237,0.02863,0.0435,0.06914,0.10965,0.16388
194,0.05655,0.0338,0.05156,0.0832,0.13428,0.20385
199,0.0451,0.03642,0.05417,0.08477,0.13308,0.1964
204,0.04723,0.03777,0.05656,0.08789,0.13729,0.20177
209,0.10266,0.03914,0.05761,0.08945,0.1383,0.20255
214,0.04666,0.04001,0.0587,0.08984,0.13819,0.20095
219,0.03354,0.03931,0.05768,0.08828,0.13508,0.19604
224,0.04931,0.03878,0.05661,0.08633,0.13175,0.191
229,0.06802,0.03961,0.05698,0.08594,0.13013,0.18753
235,0.07913,0.03937,0.0561,0.08398,0.1265,0.18138
241,0.05782,0.03668,0.05251,0.07891,0.11948,0.17171
247,0.05512,0.03693,0.05238,0.07812,0.11736,0.16854
253,0.04814,0.03593,0.05073,0.07539,0.11295,0.16156
259,0.05589,0.03557,0.04999,0.07402,0.11032,0.15784
265,0.11189,0.03538,0.04965,0.07305,0.10886,0.15487
271,0.10091,0.03396,0.04752,0.07012,0.10449,0.14909
278,0.12671,0.03254,0.04554,0.06719,0.10013,0.14286
285,0.0635,0.03214,0.04477,0.06582,0.09757,0.13924
292,0.05505,0.03052,0.04251,0.0625,0.09314,0.13289
299,0.06665,0.02947,0.04105,0.06035,0.0897,0.12818
306,0.09055,0.02874,0.03986,0.0584,0.08656,0.1239
313,0.0709,0.02749,0.03813,0.05586,0.08325,0.11877
321,0.04277,0.02584,0.036,0.05293,0.07888,0.11318
329,0.03179,0.0247,0.03441,0.05059,0.07559,0.10829
337,0.03211,0.02346,0.03268,0.04805,0.0716,0.10303
345,0.04368,0.02298,0.03186,0.04668,0.06957,0.09982
353,0.05192,0.02136,0.02976,0.04375,0.06555,0.09428
362,0.09182,0.02022,0.02816,0.04141,0.06204,0.08973
371,0.0524,0.01911,0.02674,0.03945,0.05927,0.08559
380,0.03408,0.01864,0.02597,0.03818,0.05721,0.08275
389,0.03095,0.01788,0.02491,0.03662,0.05487,0.07936
399,0.0279,0.01726,0.02379,0.03506,0.05253,0.07598
409,0.02159,0.01668,0.023,0.03389,0.05091,0.07351
419,0.01725,0.01583,0.02192,0.03242,0.04883,0.0708
429,0.02747,0.01499,0.02086,0.03096,0.04663,0.06797
440,0.04086,0.01443,0.02007,0.02979,0.04498,0.06546
451,0.03526,0.01376,0.01915,0.02842,0.04303,0.06286
462,0.03101,0.01324,0.01842,0.02734,0.04151,0.0607
474,0.03451,0.01253,0.0175,0.02607,0.03969,0.0581
486,0.02234,0.01158,0.0164,0.02471,0.03781,0.05574
498,0.02979,0.01131,0.01587,0.02373,0.03641,0.05372
511,0.02375,0.0108,0.01523,0.02285,0.03497,0.05182
524,0.0191,0.01039,0.01464,0.02197,0.0338,0.05005
537,0.01239,0.00993,0.01407,0.02119,0.03259,0.04839
