Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.01093,0.00821,0.01324,0.02285,0.03961,0.06365
150,0.01164,0.00877,0.01415,0.02441,0.04213,0.06797
170,0.01261,0.00958,0.01535,0.02637,0.0455,0.07286
190,0.01383,0.01047,0.01677,0.02881,0.04925,0.07891
210,0.01529,0.01147,0.01827,0.03125,0.05342,0.08495
230,0.01691,0.01234,0.01981,0.03359,0.05689,0.09013
250,0.01828,0.01333,0.02114,0.03555,0.05992,0.09417
270,0.01919,0.01406,0.02216,0.03711,0.06166,0.09645
290,0.01949,0.01473,0.02294,0.03809,0.06268,0.09713
310,0.01955,0.01503,0.02346,0.03848,0.06271,0.09707
330,0.01961,0.01521,0.02347,0.03818,0.06223,0.09464
350,0.01958,0.01523,0.02324,0.0375,0.06052,0.09271
370,0.01926,0.01512,0.02281,0.03652,0.05894,0.08948
390,0.01872,0.01464,0.02224,0.03535,0.05649,0.08598
410,0.01855,0.01434,0.0214,0.03398,0.0543,0.08227
430,0.01853,0.01372,0.02048,0.03252,0.05196,0.07872
450,0.01782,0.01322,0.01963,0.03105,0.04962,0.07588
470,0.0164,0.01264,0.01877,0.02969,0.04744,0.07254
490,0.01504,0.0121,0.01796,0.02842,0.04541,0.06944
510,0.01413,0.01156,0.01716,0.02715,0.0436,0.06642
610,0.01283,0.00919,0.01361,0.02178,0.03515,0.05433
710,0.00883,0.00738,0.01105,0.01782,0.02919,0.0454
810,0.00698,0.00603,0.00913,0.01484,0.02467,0.03858
910,0.00726,0.00508,0.00777,0.01274,0.02128,0.0337
1010,0.00729,0.00439,0.00676,0.01113,0.01877,0.02996
1111,0.00791,0.00376,0.00589,0.00981,0.01678,0.02709
1212,0.00624,0.00335,0.00524,0.00884,0.01525,0.02497
1313,0.00549,0.00306,0.00481,0.00815,0.01426,0.02356
1415,0.00532,0.00283,0.00451,0.00771,0.01356,0.02245
1500,0.0053,0.00271,0.00427,0.00737,0.01307,0.02176
2000,0.00545,0.00215,0.00358,0.0064,0.01175,0.01939
2500,0.00578,0.00207,0.00346,0.0063,0.01177,0.0191
3000,0.00614,0.00198,0.00338,0.00635,0.01217,0.01925
