Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
130,0.02194,0.02179,0.03387,0.05469,0.08869,0.13538
150,0.02195,0.02303,0.03553,0.05781,0.09376,0.14247
170,0.02176,0.02444,0.03769,0.06133,0.09995,0.15201
190,0.02205,0.02574,0.03993,0.06523,0.10632,0.16169
210,0.02383,0.02728,0.04232,0.06914,0.11269,0.17137
230,0.02764,0.02864,0.04418,0.07188,0.11657,0.17633
250,0.03303,0.02895,0.04466,0.07266,0.11726,0.17801
270,0.03797,0.0286,0.04387,0.07109,0.11473,0.17259
290,0.03966,0.02769,0.04224,0.06816,0.10946,0.16525
310,0.03862,0.02603,0.03999,0.06406,0.10288,0.15459
330,0.03705,0.02467,0.03743,0.06016,0.09612,0.14427
350,0.03552,0.02345,0.03564,0.05664,0.09005,0.13436
370,0.0329,0.02282,0.03406,0.0541,0.08537,0.1268
390,0.03086,0.02212,0.03307,0.05195,0.08157,0.12037
410,0.0311,0.0214,0.03183,0.0498,0.078,0.1153
430,0.03245,0.02048,0.03046,0.04766,0.07444,0.11023
450,0.0318,0.01955,0.02908,0.04551,0.0709,0.10438
470,0.02821,0.01855,0.02759,0.04316,0.06708,0.09892
490,0.02365,0.0177,0.02619,0.04082,0.0636,0.09386
510,0.01965,0.01692,0.02491,0.03867,0.06025,0.08892
610,0.01434,0.01302,0.01907,0.02949,0.04595,0.06816
710,0.01212,0.00978,0.0144,0.02236,0.03529,0.05292
810,0.00736,0.00749,0.01106,0.01743,0.02785,0.04259
910,0.00769,0.00613,0.00911,0.0144,0.02325,0.03593
1010,0.00858,0.00521,0.00772,0.01235,0.02013,0.03144
1111,0.00936,0.00434,0.00658,0.01069,0.01777,0.02802
1212,0.00795,0.00376,0.00578,0.00952,0.01605,0.02573
1313,0.00658,0.00341,0.00524,0.00874,0.01494,0.02412
1415,0.00613,0.00322,0.00495,0.00825,0.01424,0.02314
1500,0.00604,0.00305,0.0047,0.00796,0.01373,0.02248
2000,0.00609,0.00251,0.00401,0.00698,0.01249,0.02103
2500,0.00639,0.00243,0.00392,0.00698,0.01272,0.02117
3000,0.00697,0.00248,0.00408,0.00737,0.01366,0.02235
