Mass (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
833,0.00683,0.00463,0.00687,0.01099,0.01808,0.02874
845,0.00677,0.00464,0.00683,0.01089,0.01792,0.02848
857,0.00696,0.00455,0.00671,0.01069,0.0176,0.0282
869,0.00675,0.00445,0.00659,0.01055,0.01736,0.02793
881,0.0066,0.00443,0.00653,0.0104,0.01728,0.0277
893,0.00655,0.00433,0.00641,0.01025,0.01704,0.02742
906,0.00649,0.0042,0.00626,0.01006,0.01679,0.02703
919,0.00653,0.00414,0.00617,0.00991,0.01663,0.02687
932,0.00685,0.00414,0.00609,0.00981,0.01646,0.0266
945,0.0083,0.00398,0.00592,0.00962,0.01621,0.0263
959,0.00941,0.00387,0.00578,0.00942,0.01596,0.02598
973,0.00921,0.00377,0.00566,0.00928,0.01579,0.02569
987,0.00766,0.00377,0.00563,0.00918,0.01569,0.02553
1001,0.00658,0.00373,0.00557,0.00908,0.01553,0.02526
1016,0.00652,0.00359,0.00539,0.00884,0.01525,0.02479
1046,0.00641,0.0035,0.00524,0.00869,0.015,0.02437
1078,0.00634,0.00331,0.00502,0.0084,0.01456,0.02391
1111,0.0086,0.00305,0.0047,0.00796,0.01399,0.02316
1145,0.00929,0.00298,0.00462,0.00786,0.01375,0.02279
1181,0.00664,0.0029,0.0045,0.00767,0.01347,0.02247
1218,0.00596,0.00277,0.00435,0.00747,0.01319,0.02197
1257,0.00602,0.00265,0.00419,0.00723,0.01287,0.02155
1297,0.00596,0.00254,0.00407,0.00708,0.01267,0.02125
1339,0.0056,0.00251,0.00401,0.00698,0.01244,0.02103
1383,0.00553,0.00246,0.00393,0.00684,0.01229,0.02072
1429,0.00549,0.00244,0.00387,0.00679,0.01214,0.02057
1477,0.00544,0.00236,0.0038,0.00664,0.01199,0.02013
1500,0.00542,0.00234,0.00377,0.00659,0.0119,0.01998
2000,0.00525,0.002,0.0033,0.00596,0.01104,0.01806
2500,0.00535,0.00194,0.00324,0.00591,0.01118,0.01791
3000,0.00556,0.00188,0.0032,0.00601,0.01161,0.01821
