Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
767,0,0.00754,0.00473,0.00715,0.01177,0.01974,0.0314
777,0,0.00734,0.00461,0.00706,0.01157,0.01941,0.03088
788,0,0.00705,0.00451,0.00686,0.01133,0.01909,0.03049
799,0,0.00707,0.00439,0.00671,0.01113,0.01877,0.02996
810,0,0.00723,0.00425,0.00656,0.01089,0.01844,0.02956
821,0,0.00703,0.00414,0.00639,0.01069,0.01811,0.02914
833,0,0.00669,0.00406,0.00627,0.0105,0.01795,0.02876
845,0,0.00663,0.00406,0.00624,0.0104,0.01778,0.02849
857,0,0.00683,0.00398,0.00616,0.0103,0.01745,0.02818
869,0,0.00663,0.00397,0.00609,0.01016,0.01736,0.02793
881,0,0.00651,0.00395,0.00607,0.01011,0.01712,0.02765
893,0,0.00645,0.00389,0.00598,0.00996,0.01703,0.02749
906,0,0.0064,0.00383,0.00589,0.00981,0.01678,0.02709
919,0,0.00645,0.0038,0.00583,0.00972,0.01661,0.02682
932,0,0.00677,0.00378,0.0058,0.00967,0.01653,0.02668
945,0,0.00807,0.0037,0.00568,0.00947,0.01619,0.02634
959,0,0.0094,0.00357,0.00555,0.00933,0.01594,0.02593
973,0,0.00908,0.00351,0.00546,0.00918,0.01577,0.02573
987,0,0.00753,0.0035,0.00543,0.00913,0.01561,0.02549
1001,0,0.00654,0.00349,0.0054,0.00903,0.01551,0.02532
1016,0,0.00649,0.00338,0.00526,0.00884,0.01525,0.02479
1046,0,0.00639,0.00334,0.00516,0.00864,0.01491,0.02442
1078,0,0.00633,0.00322,0.00496,0.0084,0.01456,0.02391
1111,0,0.00841,0.00298,0.00466,0.00796,0.01399,0.02316
1145,0,0.00978,0.00292,0.00458,0.00786,0.01375,0.02279
1181,0,0.00664,0.00287,0.00448,0.00767,0.01347,0.02247
1218,0,0.00596,0.00274,0.00433,0.00747,0.01319,0.02197
1257,0,0.00602,0.00263,0.00417,0.00723,0.01287,0.02155
1297,0,0.00596,0.00254,0.00407,0.00708,0.01267,0.02125
1339,0,0.0056,0.00251,0.00401,0.00698,0.01244,0.02103
1383,0,0.00553,0.00246,0.00393,0.00684,0.01229,0.02072
1429,0,0.00549,0.00244,0.00387,0.00679,0.01214,0.02057
1477,0,0.00544,0.00236,0.0038,0.00664,0.01199,0.02013
1500,0,0.00542,0.00234,0.00377,0.00659,0.0119,0.01998
2000,0,0.00525,0.002,0.0033,0.00596,0.01104,0.01806
2500,0,0.00535,0.00194,0.00324,0.00591,0.01118,0.01791
3000,0,0.00556,0.00188,0.0032,0.00601,0.01161,0.01821
130,0.013,0.03349,0.02184,0.03235,0.05176,0.08353,0.12738
133,0.013,0.06553,0.02048,0.03024,0.04766,0.07615,0.11644
136,0.014,0.04522,0.01955,0.02888,0.04551,0.07272,0.11119
139,0.014,0.0388,0.01931,0.02823,0.04414,0.07053,0.10735
142,0.014,0.02249,0.01854,0.02711,0.04238,0.06772,0.10356
148,0.015,0.0225,0.01752,0.02561,0.04004,0.06398,0.09783
151,0.015,0.02077,0.01673,0.02458,0.03857,0.06164,0.09425
154,0.015,0.021,0.01658,0.02424,0.03789,0.06055,0.09258
157,0.016,0.02361,0.01632,0.02386,0.0373,0.05961,0.09031
160,0.016,0.02963,0.01553,0.02293,0.03613,0.05774,0.08829
164,0.016,0.04852,0.01541,0.02265,0.03555,0.0568,0.08685
168,0.017,0.03352,0.01564,0.02286,0.03574,0.05711,0.08693
172,0.017,0.05528,0.01559,0.0228,0.03564,0.05696,0.08709
176,0.018,0.05744,0.01589,0.02324,0.03633,0.05805,0.08835
180,0.018,0.0318,0.0174,0.02518,0.03906,0.06195,0.09348
184,0.018,0.03044,0.01973,0.02815,0.04316,0.0676,0.10191
188,0.019,0.03031,0.02152,0.03056,0.04668,0.07292,0.10905
192,0.019,0.02602,0.02353,0.03311,0.0502,0.07781,0.11551
196,0.02,0.04206,0.02444,0.03462,0.05215,0.08063,0.1193
200,0.02,0.05403,0.0255,0.03579,0.05352,0.08231,0.12158
204,0.02,0.03944,0.02609,0.03645,0.0543,0.08308,0.12249
209,0.021,0.03544,0.0252,0.03553,0.05332,0.08201,0.12114
214,0.021,0.02734,0.02463,0.03488,0.05254,0.08081,0.11967
219,0.022,0.0266,0.0239,0.03363,0.05098,0.07861,0.11651
224,0.022,0.03452,0.02353,0.03332,0.0502,0.07741,0.11473
229,0.023,0.04402,0.02298,0.03254,0.04902,0.07579,0.11272
234,0.023,0.07923,0.02179,0.03114,0.04727,0.07364,0.10951
239,0.024,0.09629,0.02116,0.03024,0.0459,0.07151,0.10714
244,0.024,0.08268,0.02026,0.0291,0.04434,0.06943,0.10366
250,0.025,0.05187,0.02017,0.02864,0.04375,0.06816,0.10212
256,0.026,0.03946,0.01963,0.02787,0.04258,0.06651,0.09947
262,0.026,0.04364,0.01927,0.02736,0.0418,0.06529,0.09764
268,0.027,0.04163,0.01891,0.02685,0.04102,0.06407,0.09582
274,0.027,0.05423,0.01846,0.02621,0.04004,0.06254,0.09354
280,0.028,0.08135,0.01819,0.02599,0.03945,0.06163,0.09217
286,0.029,0.05019,0.01783,0.02548,0.03867,0.06041,0.09034
293,0.029,0.04294,0.01677,0.0242,0.03701,0.05811,0.08745
300,0.03,0.03271,0.01651,0.02356,0.03613,0.05673,0.08538
307,0.031,0.03194,0.01593,0.02284,0.03516,0.0552,0.08307
314,0.031,0.03113,0.0154,0.02208,0.03398,0.05363,0.08043
321,0.032,0.03706,0.01483,0.02136,0.03301,0.05209,0.07887
329,0.033,0.0297,0.01435,0.02067,0.03193,0.05052,0.07636
337,0.034,0.02738,0.01383,0.02002,0.03105,0.04913,0.07426
353,0.035,0.02429,0.01305,0.01889,0.0293,0.04646,0.07011
361,0.036,0.04404,0.01222,0.01787,0.02793,0.04463,0.06761
370,0.037,0.04371,0.01171,0.01706,0.02676,0.04297,0.06547
379,0.038,0.02828,0.01122,0.01649,0.02588,0.04156,0.06332
388,0.039,0.02338,0.01083,0.01599,0.0252,0.04066,0.06173
397,0.04,0.01967,0.01071,0.01574,0.02471,0.03948,0.06037
407,0.041,0.01626,0.0106,0.01549,0.02422,0.0387,0.05918
417,0.042,0.01275,0.01025,0.01489,0.02344,0.03745,0.05727
427,0.043,0.01672,0.00965,0.01425,0.02246,0.03625,0.05553
437,0.044,0.03346,0.0091,0.01359,0.02158,0.03517,0.05397
448,0.045,0.03369,0.00898,0.01324,0.02109,0.03421,0.05268
459,0.046,0.02038,0.00873,0.01287,0.02051,0.03326,0.05122
470,0.047,0.02034,0.00864,0.01268,0.02012,0.03247,0.05018
482,0.048,0.01706,0.00816,0.01209,0.01934,0.03151,0.04835
494,0.049,0.01597,0.00768,0.0115,0.01855,0.03024,0.04681
506,0.051,0.01602,0.0077,0.01142,0.01826,0.02976,0.04607
519,0.052,0.01471,0.00754,0.01117,0.01787,0.02913,0.04489
532,0.053,0.01075,0.00737,0.01093,0.01748,0.02849,0.0441
546,0.055,0.01123,0.00713,0.01056,0.01689,0.02753,0.04262
560,0.056,0.01133,0.00694,0.01029,0.01646,0.02682,0.04169
574,0.057,0.01281,0.00676,0.01001,0.01602,0.0261,0.04076
589,0.059,0.02201,0.00635,0.00951,0.01533,0.02523,0.03944
604,0.06,0.0178505,0.00612602,0.00917368,0.0147949,0.0243486,0.0380552
620,0.062,0.01021,0.00583,0.00883,0.01436,0.02385,0.03731
636,0.064,0.00912,0.00571,0.00865,0.01406,0.02326,0.03651
653,0.065,0.01268,0.00551,0.00835,0.01357,0.02256,0.03543
670,0.067,0.01179,0.00556,0.00833,0.01343,0.02221,0.03487
688,0.069,0.00927,0.00528,0.00799,0.01299,0.02158,0.03404
707,0.071,0.00995,0.00496,0.00759,0.01245,0.02069,0.0329
726,0.073,0.01221,0.00481,0.00736,0.01206,0.02023,0.03205
