Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
616,6.16,0.01205,0.00657,0.00989,0.01602,0.02636,0.04085
636,6.36,0.00975,0.00639,0.00957,0.01543,0.02539,0.03969
657,6.57,0.01271,0.00617,0.00923,0.01489,0.02451,0.03831
679,6.79,0.00976,0.00602,0.00902,0.01455,0.02395,0.03743
702,7.02,0.00972,0.00559,0.00847,0.01377,0.02288,0.03579
726,7.26,0.0112,0.00532,0.0081,0.01323,0.02199,0.03468
751,7.51,0.00774173,0.00504894,0.00768562,0.0125488,0.0209522,0.0331853
777,7.77,0.00697,0.00493,0.00751,0.01226,0.02037,0.03238
804,8.04,0.00684,0.00465,0.00706,0.01167,0.01958,0.03114
832,8.32,0.00656,0.00441,0.00674,0.01118,0.01894,0.03012
861,8.61,0.00657,0.00423,0.00656,0.01084,0.01836,0.02931
891,8.91,0.00639,0.00414,0.00633,0.0105,0.01778,0.0285
922,9.22,0.00664,0.00399,0.00612,0.01021,0.01728,0.0277
955,9.55,0.00867,0.00383,0.00589,0.00981,0.01662,0.02685
989,9.89,0.00717,0.0037,0.00568,0.00947,0.01619,0.02614
1024,10.24,0.0065,0.00359,0.00551,0.00918,0.01569,0.02543
1061,10.61,0.00642,0.00335,0.0052,0.00874,0.01508,0.02451
1100,11,0.00747,0.0032,0.00496,0.00845,0.01458,0.02386
1140,11.4,0.00933,0.00304,0.00478,0.00811,0.01411,0.02325
1182,11.82,0.00646,0.00295,0.00464,0.00786,0.01382,0.02272
1226,12.26,0.00561,0.00281,0.00444,0.00757,0.0133,0.02218
1272,12.72,0.00576,0.00268,0.00426,0.00737,0.01296,0.02161
1320,13.2,0.00541,0.00261,0.00414,0.00718,0.01273,0.02126
1371,13.71,0.00531,0.00254,0.00403,0.00698,0.01244,0.02089
1424,14.24,0.00527,0.00246,0.00393,0.00684,0.01223,0.02059
1479,14.79,0.00524,0.00238,0.00379,0.00669,0.01197,0.02028
1500,15,0.00525,0.0024,0.00381,0.00669,0.01197,0.02028
2000,20,0.00523,0.002,0.0033,0.00596,0.01104,0.01806
2500,25,0.00545,0.00194,0.00324,0.00591,0.01118,0.01791
3000,30,0.00576,0.00188,0.0032,0.00601,0.01161,0.01821
130,2.6,0.01151,0.00863,0.01392,0.02402,0.04145,0.06688
133,2.66,0.01174,0.00877,0.01415,0.02441,0.04232,0.06801
136,2.72,0.01189,0.00895,0.01443,0.0249,0.04297,0.06933
139,2.78,0.01208,0.00916,0.01477,0.02549,0.04398,0.07096
142,2.84,0.01227,0.00937,0.01511,0.02607,0.04499,0.07232
145,2.9,0.01256,0.00962,0.01551,0.02676,0.04617,0.07394
148,2.96,0.0129,0.0099,0.01596,0.02754,0.04752,0.0761
151,3.02,0.01325,0.01021,0.01661,0.02842,0.04903,0.07853
154,3.08,0.01373,0.01071,0.01717,0.02949,0.05065,0.08114
157,3.14,0.01445,0.01114,0.01785,0.03066,0.05267,0.08405
160,3.2,0.01565,0.01164,0.01865,0.03203,0.05476,0.08774
163,3.26,0.01765,0.01234,0.01964,0.03359,0.05743,0.09132
166,3.32,0.01806,0.01305,0.02096,0.03555,0.06077,0.09589
169,3.38,0.01929,0.0141,0.0225,0.03799,0.06434,0.10152
172,3.44,0.02311,0.01531,0.02428,0.04082,0.06848,0.10804
176,3.52,0.02612,0.0176,0.02741,0.04551,0.07562,0.1173
180,3.6,0.02464,0.02055,0.03134,0.05059,0.08204,0.12522
184,3.68,0.02641,0.02333,0.0347,0.0543,0.08633,0.13003
188,3.76,0.02701,0.02583,0.03739,0.05801,0.09107,0.13573
192,3.84,0.0274,0.02788,0.04023,0.06152,0.09561,0.14206
196,3.92,0.03747,0.02962,0.04234,0.06426,0.09935,0.147
200,4,0.04519,0.03078,0.04379,0.06621,0.10184,0.14965
204,4.08,0.03855,0.03149,0.0446,0.06719,0.10281,0.15078
208,4.16,0.03392,0.03122,0.04421,0.0666,0.10218,0.15
212,4.24,0.02965,0.03069,0.04366,0.06602,0.10128,0.14907
216,4.32,0.02702,0.03023,0.04301,0.06504,0.09978,0.14686
221,4.42,0.03109,0.02951,0.04198,0.06348,0.09763,0.14384
226,4.52,0.0386,0.0293,0.04149,0.0625,0.09588,0.14113
231,4.62,0.06468,0.02824,0.04017,0.06074,0.09367,0.13812
236,4.72,0.10527,0.02719,0.03886,0.05898,0.0912,0.13459
241,4.82,0.10482,0.02638,0.03771,0.05723,0.08848,0.13091
246,4.92,0.08374,0.02575,0.0368,0.05586,0.08659,0.12822
251,5.02,0.06305,0.0253,0.03616,0.05488,0.08485,0.12555
256,5.12,0.04998,0.02485,0.03552,0.05391,0.08334,0.12332
262,5.24,0.05019,0.02451,0.03488,0.05273,0.08153,0.12094
268,5.36,0.05361,0.02406,0.03412,0.05176,0.07982,0.1183
274,5.48,0.06963,0.02371,0.03358,0.05059,0.07821,0.11572
280,5.6,0.0801,0.02335,0.03285,0.0498,0.0768,0.11383
286,5.72,0.06143,0.0228,0.03228,0.04863,0.07519,0.11125
292,5.84,0.04794,0.02188,0.03113,0.04707,0.07277,0.10823
298,5.96,0.04092,0.02107,0.03011,0.0457,0.07084,0.10518
305,6.1,0.03516,0.02053,0.02934,0.04453,0.0692,0.10283
312,6.24,0.03342,0.01981,0.02831,0.04297,0.06695,0.0998
319,6.38,0.03684,0.01918,0.02724,0.0416,0.06498,0.09719
326,6.52,0.03579,0.01848,0.02637,0.04043,0.06315,0.09445
333,6.66,0.02953,0.01794,0.0256,0.03926,0.06148,0.09178
340,6.8,0.03253,0.01758,0.02526,0.03848,0.0601,0.08989
348,6.96,0.03145,0.0172,0.02442,0.0373,0.05827,0.08715
356,7.12,0.03234,0.01615,0.02316,0.03564,0.05596,0.08422
364,7.28,0.04625,0.01522,0.02203,0.03418,0.05393,0.08089
372,7.44,0.04064,0.01453,0.02113,0.03291,0.05219,0.07875
380,7.6,0.03048,0.0141,0.02051,0.03193,0.05065,0.07642
388,7.76,0.02459,0.01375,0.02,0.03115,0.04941,0.07455
397,7.94,0.02081,0.01357,0.01964,0.03047,0.04832,0.07291
406,8.12,0.0182,0.01322,0.01914,0.02969,0.04708,0.07104
415,8.3,0.01584,0.01287,0.01863,0.02891,0.04573,0.06912
424,8.48,0.01887,0.01229,0.01787,0.02783,0.04425,0.06728
434,8.68,0.03072,0.0116,0.01705,0.02676,0.04276,0.06508
444,8.88,0.03556,0.01126,0.01655,0.02598,0.04151,0.06347
454,9.08,0.02944,0.01097,0.01612,0.02529,0.04042,0.0618
464,9.28,0.02238,0.01085,0.01576,0.0248,0.03964,0.06033
475,9.5,0.0203,0.01037,0.01524,0.02393,0.03823,0.05846
486,9.72,0.01693,0.00981,0.01457,0.02305,0.03719,0.05698
497,9.94,0.01672,0.00961,0.01409,0.02236,0.03609,0.05529
508,10.16,0.01573,0.00944,0.01394,0.02197,0.03546,0.05432
532,10.64,0.0119,0.00902,0.01333,0.021,0.03388,0.05191
557,11.14,0.0128,0.00852,0.01249,0.01982,0.03199,0.04901
583,11.66,0.02009,0.00787,0.01174,0.01865,0.0301,0.04653
611,12.22,0.01496,0.0072,0.01078,0.01738,0.02833,0.04404
640,12.8,0.01068,0.00681,0.0102,0.01646,0.02695,0.04192
671,13.42,0.01105,0.00657,0.00979,0.01572,0.02575,0.04005
703,14.06,0.00996,0.00599,0.00907,0.01475,0.02427,0.03793
737,14.74,0.00919,0.00563,0.00853,0.01387,0.02293,0.03601
773,15.46,0.00708,0.00532,0.00805,0.01309,0.02174,0.03429
811,16.22,0.00685,0.00488,0.00742,0.01226,0.02056,0.03244
851,17.02,0.00662,0.00463,0.00703,0.01162,0.0195,0.03101
893,17.86,0.00654,0.00442,0.00671,0.01108,0.01868,0.02983
937,18.74,0.00755,0.00418,0.00639,0.0106,0.01786,0.02852
983,19.66,0.00773,0.00395,0.00603,0.01001,0.01695,0.02738
1032,20.64,0.00661,0.00372,0.00571,0.00952,0.0162,0.02626
1084,21.68,0.00705,0.00344,0.00535,0.00898,0.01536,0.02508
1139,22.78,0.00917,0.0032,0.005,0.00845,0.01464,0.02405
1197,23.94,0.00608,0.00302,0.00475,0.00806,0.01403,0.02311
1258,25.16,0.00568,0.00284,0.00446,0.00767,0.01347,0.02239
1323,26.46,0.0054,0.00271,0.00431,0.00737,0.01307,0.02176
1391,27.82,0.00531,0.00264,0.00416,0.00718,0.01273,0.02133
1463,29.26,0.00527,0.00251,0.00401,0.00698,0.01238,0.02089
1500,30,0.00526,0.00247,0.00396,0.00688,0.01226,0.0206
2000,40,0.0053,0.00205,0.00338,0.0061,0.01126,0.0185
2500,50,0.00558,0.00196,0.00332,0.0061,0.01141,0.0185
3000,60,0.00596,0.00192,0.00328,0.00615,0.01184,0.01865
130,5.2,0.01134,0.00824,0.01346,0.02344,0.04081,0.0658
135,5.4,0.01167,0.00877,0.01415,0.02441,0.04232,0.06801
140,5.6,0.01198,0.00905,0.0146,0.0252,0.04347,0.07014
145,5.8,0.01237,0.00937,0.01511,0.02607,0.04499,0.07259
151,6.04,0.01302,0.00986,0.01604,0.02744,0.04735,0.07611
157,6.28,0.01399,0.01053,0.01713,0.0293,0.05055,0.08096
163,6.52,0.01565,0.01137,0.0185,0.03164,0.05459,0.08744
169,6.76,0.01744,0.01305,0.02078,0.03555,0.06077,0.09663
176,7.04,0.02106,0.01604,0.02533,0.04277,0.07176,0.11276
183,7.32,0.02355,0.02109,0.03253,0.05293,0.08626,0.13236
190,7.6,0.02615,0.02604,0.03914,0.06172,0.09788,0.14769
197,7.88,0.03507,0.02974,0.04377,0.06797,0.10644,0.15734
205,8.2,0.0347,0.03183,0.04639,0.07148,0.11081,0.16326
213,8.52,0.02942,0.03202,0.04644,0.07129,0.11022,0.16225
221,8.84,0.03278,0.03123,0.0453,0.06953,0.10778,0.1588
230,9.2,0.06505,0.03071,0.04432,0.06777,0.10478,0.15425
239,9.56,0.10743,0.02938,0.0424,0.06484,0.10025,0.14834
249,9.96,0.07878,0.02848,0.0409,0.0623,0.09633,0.14253
259,10.36,0.05588,0.02782,0.03976,0.06035,0.09331,0.13736
269,10.76,0.06119,0.02701,0.03861,0.05859,0.09012,0.13277
280,11.2,0.07763,0.02646,0.03747,0.05645,0.08682,0.12791
291,11.64,0.05269,0.02506,0.03565,0.05391,0.08291,0.12247
303,12.12,0.03872,0.0237,0.03371,0.05098,0.07881,0.11662
315,12.6,0.0364,0.02224,0.03179,0.04824,0.07478,0.11074
328,13.12,0.03478,0.02098,0.02998,0.04551,0.07072,0.10508
341,13.64,0.03371,0.01999,0.02857,0.04336,0.06738,0.10012
355,14.2,0.03475,0.01848,0.02654,0.04043,0.06331,0.09452
369,14.76,0.04061,0.01698,0.02446,0.03779,0.05934,0.0893
384,15.36,0.02822,0.01592,0.02304,0.03574,0.05626,0.08452
400,16,0.02108,0.01531,0.02206,0.03408,0.05351,0.08053
416,16.64,0.0187,0.01448,0.02086,0.03223,0.05085,0.07627
433,17.32,0.03023,0.01332,0.01938,0.03018,0.04786,0.07221
451,18.04,0.03185,0.01252,0.0183,0.02861,0.04549,0.06885
469,18.76,0.02224,0.01198,0.01743,0.02715,0.04338,0.06572
488,19.52,0.01758,0.01109,0.0163,0.02559,0.04088,0.06252
508,20.32,0.01583,0.01068,0.01551,0.02441,0.03901,0.05965
550,22,0.01338,0.00965,0.01419,0.02227,0.03558,0.0544
596,23.84,0.01943,0.00836,0.01248,0.01982,0.03215,0.04951
646,25.84,0.01163,0.00747,0.01113,0.01787,0.02913,0.04508
700,28,0.00998,0.00671,0.01005,0.01621,0.02642,0.04125
759,30.36,0.00754,0.00597,0.00899,0.01455,0.02395,0.03743
823,32.92,0.0068,0.00519,0.00795,0.01304,0.02166,0.03417
893,35.72,0.00675,0.00475,0.00727,0.01191,0.01999,0.03166
969,38.76,0.00818,0.00432,0.00656,0.01084,0.01827,0.02917
1052,42.08,0.00691,0.00385,0.00597,0.00986,0.01678,0.027
1142,45.68,0.00873,0.00339,0.00529,0.00894,0.01535,0.02505
1240,49.6,0.00577,0.00308,0.0048,0.0082,0.01428,0.02345
1347,53.88,0.00537,0.00281,0.00448,0.00767,0.01347,0.02231
1464,58.56,0.00529,0.00264,0.0042,0.00728,0.01284,0.02147
1500,60,0.00529,0.00259,0.00411,0.00713,0.01264,0.02125
2000,80,0.00541,0.00212,0.00352,0.0063,0.01157,0.01909
2500,100,0.00578,0.00207,0.00346,0.0063,0.01177,0.0191
3000,120,0.00622,0.002,0.00344,0.0064,0.01231,0.0194
130,7.8,0.01136,0.00853,0.01375,0.02373,0.04114,0.0661
137,8.22,0.01173,0.00884,0.01426,0.02461,0.04246,0.06851
145,8.7,0.0123,0.0093,0.015,0.02588,0.04465,0.07205
153,9.18,0.01317,0.00993,0.01602,0.02764,0.04769,0.07637
162,9.72,0.01481,0.0111,0.01779,0.03057,0.05274,0.08447
171,10.26,0.0173,0.01295,0.02075,0.03564,0.06093,0.0969
181,10.86,0.02101,0.01784,0.02811,0.04707,0.07859,0.12246
192,11.52,0.02613,0.02476,0.03776,0.06094,0.09834,0.1493
203,12.18,0.03237,0.02917,0.04385,0.06914,0.10938,0.16375
215,12.9,0.02947,0.03055,0.04544,0.07109,0.11162,0.16554
228,13.68,0.05007,0.03042,0.04478,0.06953,0.10861,0.16083
241,14.46,0.09813,0.02948,0.04319,0.0668,0.10407,0.15398
255,15.3,0.0619,0.02887,0.04186,0.06426,0.0996,0.14713
270,16.2,0.0632,0.02821,0.04051,0.06172,0.09542,0.14047
286,17.16,0.06079,0.02701,0.03861,0.05859,0.09012,0.13277
303,18.18,0.03926,0.02512,0.0359,0.05449,0.08403,0.12391
321,19.26,0.03635,0.02303,0.03308,0.05039,0.07791,0.11528
340,20.4,0.0337,0.02152,0.03056,0.04668,0.07217,0.10679
360,21.6,0.03699,0.0192,0.02772,0.04238,0.06603,0.09819
382,22.92,0.02924,0.01737,0.02503,0.03867,0.06056,0.09041
405,24.3,0.0209,0.01628,0.02335,0.03594,0.05628,0.08402
429,25.74,0.0266,0.01457,0.02109,0.03271,0.05162,0.07742
455,27.3,0.02793,0.01328,0.01931,0.03008,0.0477,0.07198
482,28.92,0.01893,0.01218,0.0178,0.02783,0.04425,0.06728
511,30.66,0.01541,0.01132,0.01655,0.02588,0.04115,0.06256
573,34.38,0.01741,0.00965,0.01419,0.02227,0.03576,0.05448
643,38.58,0.01174,0.00801,0.01187,0.01899,0.03096,0.0475
722,43.32,0.00958,0.00675,0.01011,0.01631,0.02671,0.04155
811,48.66,0.00691,0.00562,0.00855,0.01396,0.02321,0.0363
911,54.66,0.00713,0.00489,0.00745,0.01216,0.0204,0.03218
1024,61.44,0.00704,0.00418,0.00639,0.0106,0.01786,0.02852
1151,69.06,0.00808,0.0035,0.00543,0.00913,0.01568,0.0255
1294,77.64,0.00556,0.00303,0.00479,0.00815,0.0142,0.02339
1455,87.3,0.00531,0.00274,0.00433,0.00747,0.01319,0.02205
1500,90,0.0053,0.00266,0.00423,0.00732,0.01299,0.02169
2000,120,0.00548,0.00221,0.00361,0.00649,0.01188,0.01969
2500,150,0.00592,0.00213,0.00356,0.00649,0.01209,0.01969
3000,180,0.00642,0.00209,0.00356,0.00669,0.01272,0.02028
130,10.4,0.01133,0.00853,0.01375,0.02373,0.04095,0.06606
140,11.2,0.01189,0.00898,0.01449,0.025,0.04314,0.06934
151,12.08,0.01286,0.00969,0.01562,0.02695,0.04651,0.07448
163,13.04,0.01471,0.0111,0.01779,0.03057,0.05274,0.08415
176,14.08,0.01816,0.01434,0.02284,0.03906,0.06616,0.10522
190,15.2,0.02344,0.02115,0.0332,0.05469,0.09,0.13828
205,16.4,0.02914,0.02648,0.04062,0.06582,0.1057,0.15957
221,17.68,0.03337,0.02831,0.04301,0.06836,0.10869,0.16215
238,19.04,0.08142,0.02852,0.04265,0.06699,0.10545,0.15688
257,20.56,0.05813,0.0282,0.04151,0.06445,0.10068,0.14908
277,22.16,0.06292,0.02764,0.04008,0.06152,0.09512,0.14038
299,23.92,0.04091,0.02575,0.03717,0.05684,0.08787,0.12936
323,25.84,0.0347,0.02336,0.03372,0.05156,0.07972,0.11796
349,27.92,0.03332,0.02097,0.03027,0.04629,0.07194,0.10662
377,30.16,0.03061,0.01834,0.02659,0.04082,0.06409,0.09552
407,32.56,0.02153,0.01663,0.02411,0.03701,0.05796,0.08653
439,35.12,0.02933,0.0147,0.02128,0.03301,0.05209,0.07811
474,37.92,0.02047,0.01306,0.019,0.02959,0.04693,0.07081
512,40.96,0.01525,0.01171,0.01712,0.02676,0.04276,0.06478
595,47.6,0.01755,0.00931,0.01383,0.02188,0.0353,0.05408
691,55.28,0.00993,0.00751,0.01119,0.01797,0.02929,0.04533
803,64.24,0.00698,0.00591,0.00895,0.01455,0.02418,0.03782
933,74.64,0.0076,0.00484,0.00742,0.01216,0.0203,0.03215
1085,86.8,0.00765,0.00391,0.00601,0.01001,0.01711,0.02742
1262,100.96,0.00575,0.0032,0.005,0.00854,0.01474,0.02423
1468,117.44,0.0053,0.00273,0.00434,0.00752,0.01327,0.02219
1500,120,0.00533,0.0027,0.00428,0.00742,0.01316,0.02191
2000,160,0.00555,0.00226,0.00373,0.00664,0.01209,0.02013
2500,200,0.00604,0.00219,0.00367,0.00669,0.0124,0.02028
3000,240,0.00659,0.00218,0.00372,0.00688,0.01303,0.02087
130,13,0.01132,0.00853,0.01375,0.02373,0.04095,0.06606
143,14.3,0.01208,0.00909,0.01472,0.02529,0.04364,0.07041
157,15.7,0.01354,0.01025,0.01643,0.02822,0.0487,0.07799
172,17.2,0.01643,0.01263,0.02024,0.03477,0.05943,0.09451
189,18.9,0.0218,0.01895,0.02986,0.05,0.08348,0.13008
208,20.8,0.02718,0.0245,0.03802,0.06211,0.10123,0.15395
228,22.8,0.04329,0.02642,0.0406,0.06504,0.10393,0.15672
250,25,0.06035,0.02694,0.0405,0.06387,0.10078,0.15042
275,27.5,0.05531,0.02683,0.0395,0.06133,0.09555,0.14138
302,30.2,0.03709,0.02505,0.03651,0.05625,0.08742,0.12891
332,33.2,0.03221,0.02255,0.0327,0.0502,0.07781,0.11551
365,36.5,0.03213,0.01948,0.02839,0.04375,0.06834,0.10119
401,40.1,0.0224,0.01728,0.0249,0.03848,0.06025,0.08996
441,44.1,0.0272,0.01479,0.02151,0.0335,0.05286,0.07927
485,48.5,0.0179,0.01282,0.01874,0.0293,0.04646,0.07011
533,53.3,0.01416,0.01136,0.01662,0.02598,0.04151,0.06289
640,64,0.01181,0.00853,0.01264,0.02021,0.03262,0.05043
769,76.9,0.00737,0.00645,0.00971,0.01572,0.02588,0.04044
924,92.4,0.00741,0.00498,0.00762,0.0125,0.02087,0.03306
1111,111.1,0.00778,0.00378,0.00592,0.00986,0.01686,0.02722
1336,133.6,0.00543,0.00306,0.00481,0.00825,0.01437,0.02367
1500,150,0.00531,0.00278,0.00439,0.00757,0.01336,0.02234
2000,200,0.0056,0.00231,0.00378,0.00679,0.01231,0.02057
2500,250,0.00613,0.00227,0.00377,0.00684,0.01261,0.02072
3000,300,0.00671,0.00227,0.00385,0.00708,0.01335,0.02147
130,15.6,0.01131,0.00849,0.0137,0.02363,0.04097,0.06583
145,17.4,0.01221,0.00919,0.01483,0.02559,0.04415,0.07123
162,19.44,0.01416,0.01063,0.0173,0.02959,0.05106,0.08177
181,21.72,0.0183,0.01485,0.02384,0.04043,0.06847,0.1089
202,24.24,0.02478,0.02123,0.03327,0.05547,0.09173,0.14162
226,27.12,0.03416,0.0235,0.03667,0.06016,0.09804,0.14911
253,30.36,0.05092,0.02539,0.03859,0.06133,0.098,0.1457
283,33.96,0.04588,0.02541,0.03759,0.05859,0.09176,0.13632
317,38.04,0.03206,0.02319,0.03397,0.05254,0.08207,0.12152
355,42.6,0.03035,0.02027,0.02953,0.04551,0.07108,0.10631
397,47.64,0.0227,0.0174,0.02518,0.03906,0.06133,0.0914
444,53.28,0.02499,0.01474,0.02145,0.0334,0.05284,0.07948
497,59.64,0.01618,0.01252,0.0183,0.02861,0.04572,0.06927
556,66.72,0.01487,0.01076,0.0158,0.0248,0.03964,0.06061
690,82.8,0.00963,0.00764,0.01153,0.01846,0.03008,0.04656
857,102.84,0.00694,0.00556,0.00846,0.01382,0.02296,0.03621
1064,127.68,0.00734,0.0041,0.0063,0.0105,0.01786,0.02874
1322,158.64,0.00547,0.00313,0.00492,0.00835,0.01461,0.02396
1500,180,0.00532,0.00278,0.00442,0.00767,0.01347,0.02247
2000,240,0.00564,0.00237,0.00385,0.00688,0.01248,0.02087
2500,300,0.00621,0.00235,0.00387,0.00698,0.01283,0.02117
3000,360,0.00683,0.00236,0.00397,0.00728,0.0136,0.02206
130,18.2,0.0113,0.00849,0.0137,0.02363,0.04078,0.06579
148,20.72,0.01243,0.00934,0.01519,0.02598,0.04482,0.07232
168,23.52,0.01497,0.0113,0.01823,0.03145,0.05401,0.08652
191,26.74,0.0205,0.01696,0.02707,0.0457,0.0774,0.12118
217,30.38,0.02716,0.02153,0.03401,0.05625,0.09302,0.14301
247,34.58,0.04705,0.02365,0.03628,0.05879,0.09488,0.14272
281,39.34,0.04155,0.02398,0.03604,0.05684,0.08991,0.13461
320,44.8,0.03003,0.0223,0.03272,0.05098,0.07983,0.11918
364,50.96,0.02784,0.01906,0.02805,0.04355,0.06838,0.10191
415,58.1,0.02208,0.01621,0.02358,0.03672,0.05779,0.08683
473,66.22,0.01863,0.01342,0.01961,0.03066,0.04863,0.07338
539,75.46,0.01418,0.01122,0.01649,0.02588,0.04135,0.06294
690,96.6,0.00944,0.00768,0.0115,0.01855,0.03024,0.04681
884,123.76,0.00705,0.00533,0.00816,0.01338,0.02234,0.03509
1133,158.62,0.0073,0.0037,0.00579,0.00977,0.01669,0.02716
1453,203.42,0.00532,0.00289,0.0046,0.00786,0.01388,0.02304
1500,210,0.00532,0.00283,0.00447,0.00771,0.01362,0.02269
2000,280,0.00568,0.0024,0.00394,0.00698,0.0126,0.02117
2500,350,0.00628,0.00238,0.00396,0.00708,0.01301,0.02146
3000,420,0.00694,0.00245,0.0041,0.00747,0.01384,0.02265
130,20.8,0.01129,0.00849,0.0137,0.02363,0.04078,0.06579
150,24,0.01257,0.00948,0.01528,0.02637,0.0455,0.07286
174,27.84,0.01586,0.01227,0.01967,0.03379,0.05776,0.09256
201,32.16,0.022,0.01809,0.02846,0.04824,0.08093,0.12666
233,37.28,0.03641,0.02151,0.03331,0.05508,0.09064,0.13867
270,43.2,0.0389,0.02275,0.03476,0.05547,0.08863,0.13366
313,50.08,0.02904,0.02174,0.03233,0.05059,0.07982,0.11971
363,58.08,0.02612,0.01863,0.02757,0.04297,0.06763,0.10161
421,67.36,0.02182,0.01559,0.0228,0.03564,0.05625,0.08476
488,78.08,0.01623,0.01259,0.01859,0.0293,0.04681,0.07092
566,90.56,0.01447,0.01027,0.01525,0.02412,0.03893,0.05937
748,119.68,0.00769,0.00674,0.01021,0.0166,0.02732,0.0427
988,158.08,0.00728,0.00454,0.00703,0.01162,0.01959,0.03128
1306,208.96,0.00553,0.00319,0.00505,0.00859,0.01497,0.02447
1500,240,0.00532,0.00285,0.0045,0.00776,0.01377,0.02284
2000,320,0.00571,0.00243,0.00399,0.00708,0.01278,0.02146
2500,400,0.00634,0.00244,0.00403,0.00718,0.01319,0.02176
3000,480,0.00703,0.00253,0.00424,0.00762,0.01411,0.02309
130,23.4,0.01128,0.00849,0.0137,0.02363,0.04078,0.06579
153,27.54,0.0128,0.00962,0.01564,0.02676,0.04617,0.07422
180,32.4,0.01668,0.0132,0.02101,0.03594,0.06144,0.09769
212,38.16,0.02326,0.01831,0.02904,0.04883,0.08192,0.1282
250,45,0.03618,0.02096,0.03252,0.05312,0.08658,0.13285
295,53.1,0.03013,0.02119,0.0322,0.05117,0.08177,0.12273
348,62.64,0.02552,0.01897,0.02801,0.04414,0.06983,0.10454
410,73.8,0.02081,0.01575,0.02315,0.03633,0.05761,0.08693
483,86.94,0.01619,0.01263,0.01866,0.02939,0.04697,0.07116
570,102.6,0.01395,0.01001,0.01494,0.02373,0.0383,0.05867
776,139.68,0.00723,0.00635,0.00966,0.01577,0.02608,0.04095
1056,190.08,0.00713,0.00409,0.00639,0.01069,0.0182,0.02927
1438,258.84,0.00532,0.00296,0.00467,0.00806,0.01416,0.02345
1500,270,0.00532,0.00264,0.00429,0.00767,0.01384,0.02324
2000,360,0.00576,0.00245,0.00402,0.00713,0.01287,0.02161
2500,450,0.0064,0.00249,0.00411,0.00732,0.01334,0.0222
3000,540,0.00711,0.00261,0.00434,0.00776,0.01426,0.02354
130,26,0.01127,0.00849,0.0137,0.02363,0.04078,0.06579
156,31.2,0.01306,0.00983,0.01585,0.02734,0.04718,0.07556
187,37.4,0.01761,0.01398,0.02246,0.03809,0.06511,0.10353
224,44.8,0.0262,0.01824,0.02892,0.04863,0.0812,0.12653
268,53.6,0.03201,0.02016,0.03109,0.05059,0.08244,0.12538
321,64.2,0.02533,0.01935,0.02924,0.04629,0.07397,0.11101
385,77,0.02123,0.01649,0.02436,0.03838,0.06102,0.09191
462,92.4,0.01764,0.01318,0.01946,0.03066,0.049,0.07423
554,110.8,0.0135,0.0103,0.01537,0.02441,0.0394,0.06036
776,155.2,0.00718,0.00631,0.0096,0.01567,0.02604,0.04074
1087,217.4,0.00702,0.00394,0.00613,0.0103,0.01761,0.02844
1500,300,0.00532,0.00286,0.00454,0.00786,0.01388,0.02304
2000,400,0.00578,0.0025,0.00407,0.00718,0.01296,0.02176
2500,500,0.00644,0.00255,0.00415,0.00742,0.01346,0.0225
3000,600,0.00719,0.00266,0.00442,0.00791,0.01447,0.02398
130,28.6,0.01126,0.00849,0.0137,0.02363,0.04078,0.06579
158,34.76,0.0132,0.00993,0.01602,0.02764,0.04769,0.07637
192,42.24,0.01802,0.01427,0.02273,0.03887,0.06613,0.10477
234,51.48,0.02779,0.01798,0.02835,0.04746,0.07887,0.12233
285,62.7,0.02772,0.01914,0.02953,0.04805,0.07754,0.11771
347,76.34,0.02294,0.01747,0.02631,0.0418,0.06679,0.10024
423,93.06,0.0193,0.0143,0.02124,0.03359,0.05368,0.08133
516,113.52,0.01357,0.01112,0.0166,0.02637,0.04255,0.0646
743,163.46,0.00755,0.00662,0.01008,0.01646,0.02734,0.04277
1071,235.62,0.00694,0.004,0.00622,0.01045,0.01786,0.02884
1500,330,0.00531,0.00286,0.00458,0.00786,0.01394,0.0232
2000,440,0.0058,0.00253,0.00412,0.00728,0.01313,0.02205
2500,550,0.00648,0.00257,0.00422,0.00747,0.01361,0.02265
3000,660,0.00726,0.00277,0.00455,0.00806,0.01467,0.02442
130,31.2,0.01126,0.00846,0.01364,0.02354,0.0408,0.06556
161,38.64,0.01342,0.01011,0.01644,0.02812,0.04853,0.07772
199,47.76,0.0186,0.01456,0.02318,0.03965,0.06715,0.10679
246,59.04,0.02741,0.01765,0.02765,0.04609,0.07659,0.11881
305,73.2,0.02384,0.01817,0.02771,0.04473,0.07218,0.10958
378,90.72,0.02003,0.01559,0.0234,0.0373,0.05961,0.09031
468,112.32,0.01573,0.01232,0.01838,0.0292,0.04689,0.07144
580,139.2,0.01226,0.00926,0.01397,0.02236,0.03645,0.05642
859,206.16,0.00689,0.00532,0.00824,0.01362,0.02285,0.0362
1272,305.28,0.00562,0.00325,0.00517,0.00884,0.01539,0.02517
1500,360,0.00531,0.00284,0.00458,0.00791,0.01396,0.02327
2000,480,0.00582,0.00255,0.00415,0.00732,0.01322,0.0222
2500,600,0.00652,0.0026,0.00427,0.00757,0.01372,0.02294
3000,720,0.00733,0.0028,0.0046,0.00815,0.01478,0.02472
130,33.8,0.01125,0.00846,0.01364,0.02354,0.04061,0.06552
