Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
661,0,0.01888,0.0071,0.01013,0.01553,0.0245,0.0371
670,0,0.01576,0.00707,0.01004,0.01533,0.02419,0.03663
679,0,0.01116,0.00695,0.00988,0.01509,0.02381,0.03605
688,0,0.01073,0.00672,0.00958,0.0147,0.02325,0.03548
697,0,0.01098,0.00643,0.00926,0.01431,0.02269,0.03456
707,0,0.01204,0.0062,0.00897,0.01392,0.02224,0.034
716,0,0.01464,0.00614,0.00885,0.01367,0.02185,0.03341
726,0,0.01543,0.00598,0.00866,0.01343,0.02146,0.03281
736,0,0.01192,0.00583,0.00838,0.01309,0.02091,0.03227
746,0,0.00944,0.00567,0.00825,0.01284,0.02062,0.03171
756,0,0.008,0.00563,0.0081,0.01265,0.02041,0.03141
767,0,0.00748,0.0055,0.008,0.01245,0.02009,0.03106
777,0,0.00715,0.00539,0.00779,0.01221,0.0197,0.03045
788,0,0.00676,0.00521,0.00762,0.01191,0.01923,0.02999
799,0,0.00681,0.00508,0.00738,0.01162,0.01894,0.02932
810,0,0.00704,0.00489,0.00717,0.01138,0.01854,0.02895
821,0,0.00679,0.00478,0.00702,0.01113,0.01814,0.02833
833,0,0.00634,0.00464,0.00683,0.01089,0.01792,0.02801
845,0,0.0063,0.00459,0.00677,0.01079,0.01767,0.02773
857,0,0.00658,0.00451,0.00665,0.0106,0.01744,0.02725
869,0,0.0063,0.00445,0.00656,0.01045,0.0172,0.02688
881,0,0.00611,0.00439,0.00647,0.0103,0.01696,0.02673
893,0,0.00604,0.0043,0.00634,0.01011,0.01663,0.02622
906,0,0.00598,0.00418,0.0062,0.00991,0.01639,0.02595
919,0,0.00607,0.00412,0.0061,0.00977,0.01615,0.02557
932,0,0.00658,0.00408,0.00604,0.00967,0.01607,0.02534
945,0,0.00826,0.00394,0.00587,0.00942,0.01566,0.0249
959,0,0.00936,0.00382,0.00568,0.00923,0.01541,0.0246
973,0,0.00915,0.00376,0.00559,0.00908,0.01516,0.02421
987,0,0.00764,0.00372,0.00557,0.00898,0.01507,0.02397
1001,0,0.00628,0.00368,0.00551,0.00889,0.01484,0.02369
1016,0,0.0062,0.00354,0.0053,0.00864,0.0145,0.02324
1046,0,0.00606,0.00341,0.00516,0.0084,0.01422,0.0228
1078,0,0.00603,0.00324,0.0049,0.00806,0.01371,0.02222
1111,0,0.00846,0.00298,0.00457,0.00762,0.01314,0.02144
1145,0,0.00917,0.00289,0.00446,0.00747,0.01289,0.02111
1181,0,0.00654,0.00281,0.00435,0.00728,0.01255,0.0207
1218,0,0.00558,0.00269,0.00415,0.00703,0.01224,0.02017
1257,0,0.00566,0.00255,0.00397,0.00679,0.01193,0.01975
1297,0,0.00559,0.00245,0.00384,0.00659,0.01169,0.01946
1339,0,0.00517,0.00241,0.00378,0.00649,0.01152,0.01917
1383,0,0.0051,0.00235,0.00371,0.0064,0.01134,0.01901
1429,0,0.00505,0.00231,0.00365,0.0063,0.01117,0.01884
1477,0,0.005,0.00221,0.00354,0.00615,0.01101,0.01853
1500,0,0.00498,0.00219,0.00351,0.0061,0.01092,0.01844
2000,0,0.00484,0.00185,0.00303,0.00552,0.01014,0.01673
2500,0,0.00492,0.00178,0.00297,0.00542,0.01022,0.01643
3000,0,0.00511,0.00177,0.00297,0.00552,0.01049,0.01673
130,0.013,0.10428,0.05011,0.07043,0.1043,0.15709,0.22649
133,0.013,0.15921,0.0433,0.06031,0.08867,0.1325,0.18982
136,0.014,0.18069,0.04057,0.05626,0.08242,0.1225,0.17506
139,0.014,0.16783,0.03926,0.05398,0.07852,0.11607,0.16543
142,0.014,0.05732,0.03711,0.05103,0.07422,0.10972,0.15638
148,0.015,0.06503,0.03504,0.04797,0.06953,0.10224,0.14532
151,0.015,0.04953,0.0333,0.04605,0.0666,0.09819,0.13976
154,0.015,0.04787,0.03232,0.04445,0.06465,0.09531,0.13606
157,0.016,0.06777,0.03189,0.04366,0.06328,0.0933,0.1328
160,0.016,0.07742,0.03096,0.04257,0.06191,0.09178,0.1306
164,0.016,0.09405,0.0313,0.04285,0.06211,0.09157,0.12996
168,0.017,0.09508,0.03248,0.04411,0.06348,0.09308,0.13173
172,0.017,0.10745,0.03293,0.0449,0.06484,0.09508,0.13497
176,0.018,0.13368,0.03442,0.04693,0.06777,0.09965,0.14123
180,0.018,0.12361,0.03987,0.05466,0.07852,0.11513,0.16197
184,0.018,0.06791,0.04761,0.06527,0.09375,0.13635,0.19154
188,0.019,0.06513,0.05519,0.07503,0.10703,0.15524,0.21708
192,0.019,0.0588,0.06502,0.08768,0.12422,0.17918,0.24821
196,0.02,0.08258,0.0685,0.09237,0.13086,0.18824,0.26032
200,0.02,0.08592,0.07034,0.09485,0.13438,0.19276,0.26612
204,0.02,0.08535,0.07034,0.09485,0.13438,0.19276,0.26612
209,0.021,0.16825,0.0687,0.09265,0.13125,0.18828,0.25993
214,0.021,0.07785,0.06645,0.08961,0.12695,0.18211,0.25142
219,0.022,0.05867,0.0623,0.08436,0.11992,0.17298,0.23962
224,0.022,0.08032,0.05926,0.08024,0.11406,0.16453,0.22791
229,0.023,0.09759,0.05703,0.07722,0.10977,0.15789,0.21904
234,0.023,0.1075,0.05419,0.07337,0.1043,0.15044,0.2084
239,0.024,0.08073,0.05096,0.06928,0.09883,0.14255,0.19871
244,0.024,0.07306,0.04701,0.06446,0.09258,0.13465,0.18858
250,0.025,0.06284,0.04612,0.06271,0.08945,0.12974,0.18143
256,0.026,0.06336,0.04371,0.05942,0.08477,0.12362,0.17288
262,0.026,0.09565,0.0425,0.05778,0.08242,0.11988,0.16738
268,0.027,0.11972,0.04109,0.05586,0.07969,0.11558,0.16162
274,0.027,0.11216,0.03789,0.05195,0.07461,0.10881,0.15308
280,0.028,0.13179,0.03718,0.05076,0.07266,0.10596,0.14863
286,0.029,0.0598,0.03646,0.04957,0.0707,0.10311,0.14463
293,0.029,0.06264,0.03352,0.04571,0.06602,0.09654,0.13602
300,0.03,0.0693,0.03214,0.04381,0.06328,0.09254,0.13078
307,0.031,0.09654,0.03128,0.04248,0.06113,0.08964,0.12611
314,0.031,0.07053,0.02926,0.03989,0.05762,0.08449,0.11957
321,0.032,0.04672,0.02766,0.03787,0.05488,0.08092,0.11484
329,0.033,0.03442,0.02598,0.03572,0.05195,0.0768,0.10947
337,0.034,0.03349,0.02471,0.03397,0.04941,0.07305,0.10412
353,0.035,0.05079,0.02236,0.03092,0.04473,0.06648,0.095
361,0.036,0.09407,0.02129,0.02927,0.04258,0.06328,0.09043
370,0.037,0.0605,0.0199,0.0276,0.04043,0.06009,0.08636
379,0.038,0.03459,0.01914,0.02643,0.03857,0.05749,0.08249
388,0.039,0.03554,0.01836,0.02536,0.03701,0.05516,0.07959
397,0.04,0.02816,0.01763,0.02435,0.03555,0.05297,0.07644
407,0.041,0.02536,0.01714,0.02343,0.03428,0.05108,0.07371
417,0.042,0.01667,0.01605,0.02227,0.03262,0.04887,0.07069
427,0.043,0.02353,0.01528,0.0212,0.03105,0.04678,0.06781
437,0.044,0.03979,0.01471,0.02028,0.02988,0.04501,0.06543
448,0.045,0.03819,0.01397,0.01935,0.02861,0.0431,0.06282
459,0.046,0.02975,0.01315,0.01829,0.02715,0.04122,0.06011
470,0.047,0.03481,0.01282,0.01783,0.02646,0.03997,0.05848
482,0.048,0.02506,0.01225,0.01704,0.02529,0.0383,0.05625
494,0.049,0.02734,0.0114,0.016,0.02393,0.03651,0.05364
506,0.051,0.02665,0.01112,0.01554,0.02314,0.03532,0.05189
519,0.052,0.02303,0.01056,0.01483,0.02217,0.03392,0.05001
532,0.053,0.01357,0.01032,0.01442,0.02148,0.03287,0.04872
546,0.055,0.01463,0.00965,0.0136,0.02041,0.03139,0.04661
560,0.056,0.01293,0.00932,0.01314,0.01973,0.03034,0.04528
574,0.057,0.01052,0.00883,0.01251,0.01885,0.02922,0.04359
589,0.059,0.02022,0.00835,0.01188,0.01797,0.02792,0.04191
604,0.06,0.0164638,0.00792236,0.011252,0.0171875,0.0267789,0.0401191
620,0.062,0.00912,0.00765,0.01094,0.0166,0.026,0.0392
636,0.064,0.00895,0.00749,0.01059,0.01611,0.02523,0.03804
653,0.065,0.01594,0.00701,0.01,0.01533,0.02413,0.03661
670,0.067,0.01525,0.00689,0.00978,0.01494,0.02352,0.03567
688,0.069,0.01044,0.00648,0.00929,0.01431,0.02263,0.03454
707,0.071,0.01175,0.00602,0.00872,0.01353,0.02161,0.03305
726,0.073,0.01502,0.00581,0.0084,0.01304,0.02083,0.03215
746,0.075,0.0091,0.00547,0.008,0.0125,0.02007,0.03086
767,0.077,0.00725,0.00535,0.00772,0.01211,0.01954,0.03021
788,0.079,0.00658,0.00506,0.0074,0.01157,0.01877,0.02916
810,0.081,0.00684,0.00474,0.007,0.01104,0.01799,0.02808
833,0.083,0.00616,0.00451,0.00665,0.0106,0.01744,0.02725
857,0.086,0.0064,0.00439,0.00647,0.0103,0.01696,0.0265
881,0.088,0.00595,0.00426,0.00628,0.01001,0.01647,0.02597
906,0.091,0.00583,0.00408,0.006,0.00967,0.01591,0.02529
932,0.093,0.00642,0.00393,0.00583,0.00933,0.0155,0.02464
959,0.096,0.00912,0.00372,0.00553,0.00898,0.015,0.02395
987,0.099,0.00744,0.00362,0.00542,0.00874,0.01466,0.02332
1016,0.102,0.00607,0.00352,0.00523,0.0085,0.01425,0.02285
1046,0.105,0.00589,0.00326,0.00493,0.00811,0.01373,0.02217
1078,0.108,0.0059,0.00316,0.00478,0.00786,0.01338,0.02168
1111,0.111,0.00829,0.00295,0.0045,0.00747,0.01289,0.02095
1145,0.115,0.00894,0.00281,0.00435,0.00728,0.01255,0.02055
1181,0.118,0.00637,0.00274,0.00423,0.00708,0.01227,0.02016
1218,0.122,0.00543,0.00262,0.00403,0.00684,0.0119,0.01975
1257,0.126,0.00554,0.00251,0.00391,0.00669,0.01165,0.01939
1297,0.13,0.00545,0.00239,0.00375,0.00645,0.01138,0.01902
1339,0.134,0.00506,0.00233,0.00368,0.00635,0.01121,0.01873
1383,0.138,0.00499,0.00228,0.00363,0.0062,0.0111,0.01855
1429,0.143,0.00495,0.00226,0.00357,0.00615,0.01091,0.0184
1477,0.148,0.0049,0.00221,0.00345,0.00601,0.01075,0.01809
1500,0.15,0.00489,0.00219,0.00342,0.00596,0.01066,0.01806
2000,0.2,0.00477,0.0018,0.00297,0.00537,0.00995,0.01628
2500,0.25,0.00483,0.00175,0.00289,0.00532,0.00995,0.01614
3000,0.3,0.00504,0.00172,0.00289,0.00537,0.01025,0.01629
130,0.13,0.03989,0.03118,0.04774,0.07676,0.12326,0.18608
133,0.133,0.0575,0.033,0.05014,0.07969,0.12606,0.18873
136,0.136,0.07643,0.03459,0.05173,0.08125,0.12756,0.18825
139,0.139,0.09467,0.03623,0.05333,0.08281,0.12837,0.18865
142,0.142,0.04285,0.0367,0.05349,0.08242,0.12645,0.18466
145,0.145,0.05333,0.03682,0.05348,0.08125,0.124,0.18025
148,0.148,0.05301,0.03754,0.05349,0.08008,0.12157,0.1754
151,0.151,0.04461,0.03635,0.05179,0.07754,0.11679,0.16839
154,0.154,0.04483,0.03574,0.05046,0.075,0.11297,0.16197
157,0.157,0.06323,0.0351,0.04933,0.07305,0.10944,0.15698
160,0.16,0.07486,0.03388,0.04761,0.07051,0.10564,0.1511
164,0.164,0.0945,0.03403,0.0472,0.06914,0.10304,0.14701
168,0.168,0.09478,0.03457,0.04753,0.06914,0.10221,0.14568
172,0.172,0.10744,0.0342,0.04723,0.06895,0.1022,0.14543
176,0.176,0.13106,0.03469,0.0479,0.06992,0.10365,0.14749
180,0.18,0.108848,0.0372986,0.0517296,0.0757813,0.112029,0.159671
184,0.184,0.0558,0.03992,0.05586,0.08242,0.12283,0.17525
188,0.188,0.05407,0.04409,0.06168,0.09102,0.13564,0.19352
192,0.192,0.04557,0.05033,0.07084,0.10391,0.15402,0.21791
196,0.196,0.06557,0.05379,0.07493,0.11016,0.16285,0.23075
200,0.2,0.06909,0.05569,0.07804,0.11406,0.16817,0.23727
205,0.205,0.07812,0.05589,0.07831,0.11445,0.16874,0.23808
210,0.21,0.12457,0.05537,0.07724,0.1125,0.16541,0.23236
215,0.215,0.05986,0.05445,0.07563,0.10977,0.16139,0.22671
220,0.22,0.04821,0.05153,0.07188,0.10469,0.15434,0.21712
225,0.225,0.06401,0.05019,0.06971,0.10117,0.14876,0.20896
230,0.23,0.09709,0.04902,0.06741,0.09805,0.14377,0.20227
235,0.235,0.09206,0.04707,0.06509,0.09414,0.13804,0.19421
240,0.24,0.06958,0.04438,0.06128,0.08945,0.13117,0.18564
245,0.245,0.06389,0.04211,0.0584,0.08555,0.12578,0.17774
251,0.251,0.0533,0.04082,0.05645,0.08164,0.12037,0.16982
257,0.257,0.05708,0.03926,0.05429,0.07852,0.11576,0.16332
263,0.263,0.10164,0.03878,0.05309,0.07695,0.11284,0.15875
269,0.269,0.10852,0.0375,0.05149,0.07441,0.10912,0.15397
275,0.275,0.11324,0.03469,0.04818,0.06992,0.10309,0.1463
281,0.281,0.1173,0.03474,0.04757,0.06895,0.1011,0.14308
288,0.288,0.05053,0.03336,0.04568,0.06621,0.09709,0.1374
295,0.295,0.06714,0.03125,0.04297,0.0625,0.09215,0.13077
302,0.302,0.07569,0.03041,0.04164,0.06035,0.08898,0.12628
309,0.309,0.08841,0.02891,0.03997,0.05781,0.08524,0.12097
316,0.316,0.05986,0.02754,0.03787,0.05508,0.08142,0.11605
323,0.323,0.04225,0.02616,0.03613,0.05273,0.07817,0.11124
331,0.331,0.02872,0.02451,0.0342,0.0498,0.07402,0.10578
339,0.339,0.03628,0.02374,0.03278,0.04785,0.07093,0.10152
347,0.347,0.04576,0.02314,0.03182,0.04629,0.06861,0.0982
355,0.355,0.05896,0.02124,0.02946,0.04316,0.06415,0.0922
363,0.363,0.092,0.02028,0.02813,0.04121,0.06158,0.08872
372,0.372,0.04788,0.01923,0.02666,0.03906,0.05853,0.08442
381,0.381,0.03553,0.0186,0.0258,0.03779,0.05647,0.08136
390,0.39,0.02936,0.01778,0.02466,0.03613,0.05414,0.0783
399,0.399,0.02842,0.01716,0.0238,0.03486,0.05223,0.07555
409,0.409,0.02198,0.01658,0.023,0.03369,0.05048,0.07301
419,0.419,0.01695,0.01581,0.0218,0.03213,0.04827,0.07009
429,0.429,0.02672,0.01497,0.02073,0.03066,0.04619,0.06714
440,0.44,0.04044,0.01414,0.01967,0.0292,0.04421,0.06459
451,0.451,0.03488,0.01367,0.01901,0.02822,0.04262,0.0622
462,0.462,0.03062,0.01315,0.01829,0.02715,0.04111,0.06005
474,0.474,0.03456,0.01254,0.01743,0.02588,0.03939,0.05766
486,0.486,0.0222,0.01159,0.01633,0.02451,0.03751,0.05515
498,0.498,0.03001,0.01126,0.0158,0.02363,0.03616,0.05332
511,0.511,0.02407,0.01084,0.01512,0.02275,0.03482,0.05133
524,0.524,0.0195,0.01042,0.01463,0.02188,0.03356,0.04965
537,0.537,0.01247,0.00997,0.01405,0.02109,0.03244,0.04805
551,0.551,0.01422,0.00938,0.01329,0.02002,0.03095,0.04603
565,0.565,0.01141,0.00911,0.0129,0.01943,0.03005,0.0448
580,0.58,0.01338,0.00858,0.01221,0.01846,0.02868,0.04305
595,0.595,0.02013,0.0081,0.01151,0.01758,0.02746,0.04147
611,0.611,0.01143,0.00781,0.01109,0.01694,0.02653,0.04
627,0.627,0.00824,0.00752,0.01068,0.01631,0.0256,0.03854
644,0.644,0.01155,0.00714,0.01019,0.01562,0.02459,0.03731
661,0.661,0.01815,0.00679,0.00974,0.01499,0.02371,0.03602
679,0.679,0.01067,0.00659,0.00945,0.01455,0.02302,0.03513
697,0.697,0.01062,0.00613,0.00888,0.01377,0.022,0.03364
716,0.716,0.014,0.00587,0.0085,0.01318,0.02107,0.03251
736,0.736,0.01129,0.00551,0.00806,0.0126,0.02033,0.03143
756,0.756,0.00754,0.00534,0.00775,0.01221,0.0197,0.03045
777,0.777,0.00677,0.00515,0.00748,0.01177,0.01899,0.02962
799,0.799,0.0065,0.00483,0.00708,0.01123,0.0183,0.02858
821,0.821,0.00649,0.00455,0.00671,0.01069,0.0176,0.02751
844,0.844,0.00601,0.00439,0.0065,0.0104,0.01712,0.02687
868,0.868,0.00607,0.00424,0.00629,0.01006,0.01655,0.02609
893,0.893,0.00581,0.00412,0.0061,0.00977,0.01615,0.02557
919,0.919,0.0059,0.00394,0.00587,0.00942,0.01566,0.0249
946,0.946,0.00815,0.00376,0.00563,0.00908,0.01516,0.02421
974,0.974,0.00879,0.00362,0.00538,0.00874,0.01466,0.02351
1003,1.003,0.00603,0.00354,0.00526,0.00854,0.01434,0.02298
1033,1.033,0.00616,0.00335,0.00507,0.00825,0.01398,0.0224
1064,1.064,0.0059,0.00317,0.00482,0.00796,0.01348,0.02186
1096,1.096,0.00654,0.00301,0.00459,0.00762,0.01302,0.02118
1130,1.13,0.00892,0.00286,0.0044,0.00732,0.01264,0.02069
1165,1.165,0.0082,0.00276,0.00423,0.00713,0.0123,0.02029
1202,1.202,0.00559,0.00264,0.0041,0.00688,0.01204,0.01989
1240,1.24,0.00533,0.00251,0.00391,0.00669,0.0117,0.0194
1280,1.28,0.00563,0.00241,0.00378,0.00649,0.01141,0.01903
1321,1.321,0.00511,0.00235,0.00371,0.0064,0.01124,0.01881
1364,1.364,0.005,0.00229,0.00362,0.00625,0.01108,0.01857
1409,1.409,0.00496,0.00228,0.00356,0.0062,0.011,0.01843
1456,1.456,0.00492,0.00222,0.00348,0.00605,0.01083,0.01823
1500,1.5,0.0049,0.00219,0.00342,0.00596,0.01066,0.01806
2000,2,0.00482,0.0018,0.00297,0.00537,0.00995,0.01628
2500,2.5,0.00493,0.00175,0.00292,0.00532,0.00999,0.01614
3000,3,0.00518,0.00174,0.00292,0.00542,0.01035,0.01643
130,1.3,0.02735,0.02342,0.03613,0.05879,0.09535,0.14553
134,1.34,0.02907,0.02412,0.03721,0.06055,0.0982,0.14988
138,1.38,0.03104,0.02506,0.03865,0.06289,0.1015,0.15478
142,1.42,0.02993,0.02607,0.04021,0.06543,0.10559,0.1603
146,1.46,0.03241,0.0275,0.04219,0.06836,0.11032,0.16748
150,1.5,0.03329,0.02892,0.04436,0.07188,0.116,0.17529
154,1.54,0.03529,0.03063,0.04671,0.07539,0.12167,0.18302
158,1.58,0.04302,0.03221,0.0495,0.0793,0.12734,0.19135
163,1.63,0.05482,0.0351,0.05334,0.08477,0.13443,0.20091
168,1.68,0.06448,0.03825,0.0572,0.08984,0.14106,0.20816
173,1.73,0.08857,0.04031,0.05965,0.09297,0.14448,0.21197
178,1.78,0.07906,0.03879,0.05711,0.08867,0.13815,0.20338
183,1.83,0.04237,0.02769,0.04224,0.06816,0.10892,0.16501
188,1.88,0.03055,0.02449,0.03822,0.0627,0.10218,0.15678
194,1.94,0.03206,0.02805,0.04352,0.07109,0.11587,0.17622
200,2,0.03803,0.03159,0.04845,0.07852,0.12671,0.19061
206,2.06,0.05749,0.03333,0.05083,0.08203,0.13108,0.19673
212,2.12,0.05376,0.03543,0.05355,0.08477,0.13376,0.19867
218,2.18,0.02949,0.03543,0.05326,0.08398,0.13186,0.19459
224,2.24,0.04087,0.03543,0.05297,0.0832,0.12997,0.19101
231,2.31,0.07501,0.03606,0.05345,0.08242,0.12776,0.1868
238,2.38,0.05828,0.03566,0.05197,0.08008,0.12317,0.18005
245,2.45,0.05023,0.03453,0.05066,0.07754,0.11895,0.17326
252,2.52,0.04526,0.03472,0.05019,0.07598,0.11565,0.16748
260,2.6,0.06301,0.03448,0.0496,0.0748,0.11327,0.16368
268,2.68,0.11229,0.03461,0.04931,0.07383,0.1112,0.15988
276,2.76,0.12224,0.03259,0.04644,0.06953,0.10528,0.15131
284,2.84,0.0800411,0.0322983,0.0456015,0.0677734,0.102082,0.146366
293,2.93,0.06183,0.0309,0.04363,0.06484,0.09767,0.14004
302,3.02,0.08012,0.02969,0.04192,0.0623,0.09335,0.13427
311,3.11,0.08103,0.02862,0.04023,0.05957,0.08925,0.12838
320,3.2,0.04552,0.02731,0.03838,0.05684,0.08515,0.12249
330,3.3,0.03062,0.02541,0.03588,0.05332,0.0801,0.11567
340,3.4,0.03901,0.02412,0.0339,0.0502,0.07541,0.10889
350,3.5,0.05245,0.02262,0.03193,0.04746,0.07111,0.10285
361,3.61,0.09079,0.02076,0.02931,0.04355,0.06595,0.0953
372,3.72,0.04738,0.01964,0.02773,0.04121,0.0624,0.09042
384,3.84,0.03596,0.01914,0.02674,0.03984,0.06001,0.087
396,3.96,0.02648,0.01802,0.02532,0.0375,0.05663,0.08219
408,4.08,0.0223,0.0175,0.02434,0.03613,0.05457,0.07898
421,4.21,0.02063,0.01629,0.023,0.03418,0.05175,0.0752
434,4.34,0.03836,0.0155,0.02175,0.03252,0.04924,0.07193
448,4.48,0.04127,0.01449,0.02056,0.03066,0.04668,0.06832
462,4.62,0.03378,0.0138,0.01958,0.0292,0.04456,0.06529
477,4.77,0.03181,0.01286,0.01822,0.02744,0.04199,0.06191
492,4.92,0.02636,0.01203,0.01711,0.02588,0.0398,0.05879
508,5.08,0.02479,0.01148,0.01634,0.02471,0.038,0.05613
524,5.24,0.01773,0.01094,0.01556,0.02354,0.0362,0.05375
541,5.41,0.0132,0.01026,0.01467,0.02227,0.03451,0.05124
559,5.59,0.01256,0.00964,0.01385,0.02109,0.03278,0.04883
577,5.77,0.01293,0.00915,0.01314,0.02002,0.03119,0.04673
596,5.96,0.0194,0.00856,0.01228,0.0189,0.02959,0.04462
616,6.16,0.00981,0.00814,0.01167,0.01797,0.02821,0.04246
636,6.36,0.00971,0.00777,0.01113,0.01714,0.02698,0.04092
657,6.57,0.01685,0.00722,0.01045,0.01621,0.02565,0.03895
679,6.79,0.01139,0.00698,0.01005,0.01553,0.02463,0.03751
702,7.02,0.01168,0.00634,0.00928,0.0145,0.02317,0.0356
726,7.26,0.01418,0.00597,0.00877,0.01377,0.02211,0.034
751,7.51,0.00807504,0.00555992,0.00821194,0.0129395,0.0209855,0.0324614
